data,ano,mes,mes_nome,precipitacao_mm,fonte,seca,grupo_seca,decada
1995-01-01,1995,1,Jan,425.0,Sr. Luiz (Pluviômetro),0,1,1990
1995-02-01,1995,2,Fev,237.0,Sr. Luiz (Pluviômetro),0,1,1990
1995-03-01,1995,3,Mar,234.0,Sr. Luiz (Pluviômetro),0,1,1990
1995-04-01,1995,4,Abr,97.0,Sr. Luiz (Pluviômetro),0,1,1990
1995-05-01,1995,5,Mai,75.0,Sr. Luiz (Pluviômetro),0,1,1990
1995-06-01,1995,6,Jun,27.0,Sr. Luiz (Pluviômetro),0,1,1990
1995-07-01,1995,7,Jul,92.0,Sr. Luiz (Pluviômetro),0,1,1990
1995-08-01,1995,8,Ago,12.0,Sr. Luiz (Pluviômetro),0,1,1990
1995-09-01,1995,9,Set,142.0,Sr. Luiz (Pluviômetro),0,1,1990
1995-10-01,1995,10,Out,232.0,Sr. Luiz (Pluviômetro),0,1,1990
1995-11-01,1995,11,Nov,45.0,Sr. Luiz (Pluviômetro),0,1,1990
1995-12-01,1995,12,Dez,168.0,Sr. Luiz (Pluviômetro),0,1,1990
1996-01-01,1996,1,Jan,157.0,Sr. Luiz (Pluviômetro),0,1,1990
1996-02-01,1996,2,Fev,183.0,Sr. Luiz (Pluviômetro),0,1,1990
1996-03-01,1996,3,Mar,452.0,Sr. Luiz (Pluviômetro),0,1,1990
1996-04-01,1996,4,Abr,37.0,Sr. Luiz (Pluviômetro),0,1,1990
1996-05-01,1996,5,Mai,22.0,Sr. Luiz (Pluviômetro),0,1,1990
1996-06-01,1996,6,Jun,20.0,Sr. Luiz (Pluviômetro),0,1,1990
1996-07-01,1996,7,Jul,18.0,Sr. Luiz (Pluviômetro),0,1,1990
1996-08-01,1996,8,Ago,30.0,Sr. Luiz (Pluviômetro),0,1,1990
1996-09-01,1996,9,Set,182.0,Sr. Luiz (Pluviômetro),0,1,1990
1996-10-01,1996,10,Out,210.0,Sr. Luiz (Pluviômetro),0,1,1990
1996-11-01,1996,11,Nov,93.0,Sr. Luiz (Pluviômetro),0,1,1990
1996-12-01,1996,12,Dez,247.0,Sr. Luiz (Pluviômetro),0,1,1990
1997-01-01,1997,1,Jan,533.0,Sr. Luiz (Pluviômetro),0,1,1990
1997-02-01,1997,2,Fev,140.0,Sr. Luiz (Pluviômetro),0,1,1990
1997-03-01,1997,3,Mar,42.0,Sr. Luiz (Pluviômetro),0,1,1990
1997-04-01,1997,4,Abr,118.0,Sr. Luiz (Pluviômetro),0,1,1990
1997-05-01,1997,5,Mai,105.0,Sr. Luiz (Pluviômetro),0,1,1990
1997-06-01,1997,6,Jun,260.0,Sr. Luiz (Pluviômetro),0,1,1990
1997-07-01,1997,7,Jul,20.0,Sr. Luiz (Pluviômetro),0,1,1990
1997-08-01,1997,8,Ago,75.0,Sr. Luiz (Pluviômetro),0,1,1990
1997-09-01,1997,9,Set,80.0,Sr. Luiz (Pluviômetro),0,1,1990
1997-10-01,1997,10,Out,262.0,Sr. Luiz (Pluviômetro),0,1,1990
1997-11-01,1997,11,Nov,455.0,Sr. Luiz (Pluviômetro),0,1,1990
